558,886,16550,-25,9,-11,-1,-21,508,669,-6093,-1947,1
642,952,16514,-25,10,65526,-1,-21,508,675,-6109,63572,2
614,962,16512,65512,10,-11,-1,-21,508,681,59444,-1971,3
586,952,16576,65512,9,65524,-1,-21,508,682,-6099,-1965,4
616,968,16504,-25,10,-11,-1,-21,508,679,59436,-1957,5
584,922,16506,65512,10,-11,-1,-21,508,688,-6101,-1953,6
622,918,16518,65510,11,-11,-1,-21,508,682,-6099,63576,7
580,836,16468,65512,10,65524,-1,-21,508,693,-6103,63582,8
602,968,16526,-23,9,-11,-1,-21,508,692,59448,-1957,9
544,1012,16550,-25,9,65526,-1,-21,508,681,-6097,-1967,10
602,930,16468,-25,10,65526,-1,-21,508,690,-6105,63562,11
572,950,16474,-25,9,65524,-1,-21,508,692,59426,63584,12
626,914,16668,-25,11,-11,-1,-21,508,685,-6115,63584,13
632,920,16526,65512,9,65524,-1,-21,508,695,59448,-1973,14
552,902,16488,65512,10,65526,-1,-21,508,688,59426,63566,15
576,906,16506,-25,10,65524,-1,-21,508,694,59420,-1955,16
594,880,16554,65512,10,-11,-1,-21,508,706,-6097,-1953,17
636,924,16566,65512,10,-11,-1,-21,508,696,59432,-1959,18
610,908,16556,65512,9,-11,-1,-21,508,681,-6113,63564,19
620,950,16514,65512,9,-11,-1,-21,508,684,59428,63584,20
