652,932,16480,65512,9,-11,-1,-21,510,682,59410,-1953,1
564,922,16478,-25,10,-11,-1,-21,510,684,-6099,-1957,2
574,930,16486,65510,9,65526,-1,-21,510,667,-6119,63552,3
588,902,16664,65512,10,-11,-1,-21,510,674,59418,-1977,4
640,928,16536,-23,9,65524,-1,-21,510,674,59430,63580,5
636,874,16440,-25,10,65526,-1,-21,510,673,-6103,-1959,6
570,912,16456,-25,9,65524,-1,-21,510,677,-6115,63568,7
628,910,16508,-25,10,65526,-1,-21,510,676,59408,-1975,8
548,894,16476,-25,10,-11,-1,-21,510,681,-6113,63570,9
558,936,16564,-23,11,65526,-1,-21,510,671,-6115,63556,10
570,932,16478,65510,11,-11,-1,-21,510,683,-6115,-1975,11
604,936,16532,-23,9,-11,-1,-21,510,671,-6111,-1975,12
608,966,16530,-25,9,-11,-1,-21,510,665,59408,-1973,13
670,924,16446,-25,9,-11,-1,-21,510,689,59424,-1967,14
602,910,16584,-25,8,-11,-1,-21,510,686,-6101,63556,15
608,956,16562,65512,11,-11,-1,-21,510,671,-6103,63576,16
538,952,16486,65512,11,-11,-1,-21,510,671,-6109,63582,17
590,998,16472,65510,10,-11,-1,-21,510,666,-6117,63582,18
626,994,16570,-25,9,65526,-1,-21,510,659,59420,63596,19
560,930,16576,-25,9,-11,-1,-21,510,669,59438,-1937,20
