586,898,16506,-26,9,-10,-1,-21,712,687,-6118,-1976,1
586,926,16478,-26,9,-11,-1,-21,712,686,-6122,-1979,2
576,934,16518,-24,9,-11,-1,-21,712,693,-6128,-1977,3
560,924,16598,-25,9,-11,-1,-21,712,690,-6126,-1978,4
578,936,16416,-24,10,-10,-1,-21,712,693,-6105,-1967,5
582,904,16506,-25,9,-11,-1,-21,712,682,-6115,-1988,6
552,930,16556,-25,9,-12,-1,-21,712,687,-6111,-2005,7
608,960,16460,-23,10,-10,-1,-21,712,672,-6114,-1998,8
536,902,16552,-25,10,-11,-1,-21,712,673,-6113,-1988,9
566,986,16558,-25,9,-10,-1,-21,712,679,-6108,-1980,10
726,914,16500,-24,9,-11,-1,-21,712,666,-6110,-1977,11
642,950,16504,-24,9,-11,-1,-21,712,686,-6104,-1985,12
644,882,16572,-24,9,-11,-1,-21,712,689,-6106,-1988,13
536,874,16554,-25,11,-12,-1,-21,712,678,-6110,-1974,14
584,954,16600,-24,10,-11,-1,-21,712,683,-6111,-1973,15
584,944,16514,-25,10,-10,-1,-21,712,686,-6104,-1973,16
614,924,16482,-24,10,-11,-1,-21,712,677,-6098,-1974,17
630,972,16488,-24,10,-11,-1,-21,712,689,-6108,-1986,18
606,912,16538,-24,9,-12,-1,-21,712,688,-6127,-1991,19
546,906,16490,-25,10,-10,-1,-21,712,677,-6110,-1978,20
